Date,Ticker,Close,Open,High,Low,Volume
2021-08-06 18:49:40.380001,AAPL,150.0,149.94529065408653,152.1882313787979,148.2762678895012,116700799
2021-08-09 18:49:40.380001,AAPL,152.67067601012144,152.86729349093224,155.10958953346855,152.54556661709347,162758948
2021-08-10 18:49:40.380001,AAPL,147.09945991722174,148.51792322903222,149.05464624408998,146.93579476088846,138061291
2021-08-11 18:49:40.380001,AAPL,155.89064533999613,156.224910521747,158.52938452194743,155.0018095378356,181372494
2021-08-12 18:49:40.380001,AAPL,156.7852863388068,156.55004376881374,159.89935212988536,153.86575287777637,199550922
2021-08-13 18:49:40.380001,AAPL,145.1691765848847,144.79169133962898,146.38907049734263,143.9884870020019,140313173
2021-08-16 18:49:40.380001,AAPL,138.6977713841489,138.46925097387023,140.95553721265136,138.66747406277787,102825368
2021-08-17 18:49:40.380001,AAPL,133.07741391535959,132.06176465219332,135.0591488923672,132.93612889451538,113435890
2021-08-18 18:49:40.380001,AAPL,133.77644079538717,134.56505440793828,134.98810797361458,131.38452470277457,173810849
2021-08-19 18:49:40.380001,AAPL,128.04952969489813,128.91441939211592,130.4234373642362,126.50260763970573,113995249
2021-08-20 18:49:40.380001,AAPL,114.6842538857762,114.18972881063452,115.58894275470094,113.11431073360893,127960784
2021-08-23 18:49:40.380001,AAPL,117.9473803647575,117.48454686721243,119.28128483496431,115.89445456484462,79100006
2021-08-24 18:49:40.380001,AAPL,120.51086369588928,121.41309058672664,120.76620779474847,119.77526131363217,198509772
2021-08-25 18:49:40.380001,AAPL,119.00620332903075,117.87319371581704,119.54357630206479,117.27787234505767,147619844
2021-08-26 18:49:40.380001,AAPL,122.44309487698182,122.49319233154445,124.50184369640942,120.83876170448013,99531326
2021-08-27 18:49:40.380001,AAPL,130.2946773343035,130.200020113604,131.32805151564398,127.92424940129945,137760313
2021-08-30 18:49:40.380001,AAPL,128.98435757468837,129.47482515932495,130.00097123676105,127.68927093643664,110170823
2021-08-31 18:49:40.380001,AAPL,131.7626217274245,130.8755738857541,132.41084380446404,129.54418154063242,73229661
2021-09-01 18:49:40.380001,AAPL,122.3917195621975,122.80376533861944,123.59510024558173,121.00157096991859,181212232
2021-09-02 18:49:40.380001,AAPL,123.91119240155123,123.60571168021555,125.90818721231824,121.78820266676638,182849437
2021-09-03 18:49:40.380001,AAPL,120.40601853819376,120.69189801381478,122.56168148538157,120.29488351806972,175234037
2021-09-06 18:49:40.380001,AAPL,114.20926995663659,113.1587616931997,114.36942431858041,112.25625154296205,105270230
2021-09-07 18:49:40.380001,AAPL,113.50579438229848,113.41891068456229,114.81070405683492,112.42042281416715,88460278
2021-09-08 18:49:40.380001,AAPL,118.2090027489917,118.26160786875027,119.31372112558601,116.31051846826442,57460814
2021-09-09 18:49:40.380001,AAPL,114.05972550385734,113.40804846237614,115.46102188879313,111.95272712064148,159730749
2021-09-10 18:49:40.380001,AAPL,111.29840171395848,110.49621548785088,112.29402309552654,109.52276619828099,99182138
2021-09-13 18:49:40.380001,AAPL,110.87420079011657,110.18339753653467,111.7581893083414,108.77817748193237,183833035
2021-09-14 18:49:40.380001,AAPL,117.56424087120644,117.19777215439669,118.67376682597717,115.54071900430334,180478507
2021-09-15 18:49:40.380001,AAPL,121.6623118658534,120.68125167872529,123.07845905602176,120.42983409858927,69227075
2021-09-16 18:49:40.380001,AAPL,123.74228337234473,124.84933083076938,124.98213950163037,122.88058052316181,187543487
2021-09-17 18:49:40.380001,AAPL,119.15367732982703,118.92727119100813,120.2788322812267,116.9787409860927,71043222
2021-09-20 18:49:40.380001,AAPL,128.67824810928616,129.47340145267796,130.7830004078326,127.23967322525183,123559762
2021-09-21 18:49:40.380001,AAPL,127.5925983365948,128.8032406052514,129.49538162952484,126.5240027282883,121089493
2021-09-22 18:49:40.380001,AAPL,125.93225856914846,124.87627950659613,126.7920698651319,124.00354476616839,193450990
2021-09-23 18:49:40.380001,AAPL,124.57182415209755,124.94969899787434,126.56641119016379,123.00739739805891,148596289
